scene_name,rrt_star,arg=3,arg=4,arg=5,arg=6,arg=7,arg=8,arg=9
1.json,38.957914519053176,38.100835597725236,38.904829310428006,38.78934546363227,39.17552452116408,37.90628468040503,39.29510208645421,38.59900048004953
2.json,32.9262430686803,32.61693799906775,32.61693799906775,32.61693799906775,32.61693799906775,32.61693799906775,32.61693799906775,32.61693799906775
3.json,38.30243314290343,36.84628323681006,36.921031494194466,37.21154129047285,36.670897689716554,37.08892230784086,36.401034590461926,36.7165548235621
4.json,42.43099816029326,42.96556244597225,42.6813875119441,42.08331857393721,41.40167643491223,42.33806510499731,41.37664768625509,42.11517140235841
5.json,38.960659593649254,36.24441273447877,35.72010383559686,36.20831582655323,37.63962604050863,37.64666830522801,36.05271854439273,35.19376822723202
6.json,41.496002291114785,36.35533510953637,36.96565877884869,34.400285771595506,35.420678075608954,37.285265921283305,35.69784032346273,38.016552514305275
7.json,40.39572270384899,37.49925664890817,36.69046467315805,37.62336553722909,38.00152580897515,38.168352967762345,37.85859538278199,36.4486411110278
8.json,47.27452457147396,43.494463257383,41.9999904662585,43.39032665301373,43.217771787786155,43.032934265254546,44.311838020874575,43.34189940521271
9.json,38.4041961568988,34.46993245308524,35.241052870216244,35.062762350285894,35.09172238133971,34.646447872650086,34.960120886142846,35.33094927393644
10.json,32.065904104198424,31.811183797759533,31.811183797759533,31.811183797759533,31.811183797759533,31.811183797759533,31.811183797759533,31.811183797759533
11.json,54.92277311880882,45.904556376497375,45.26291245535901,44.83656881138093,45.31892814394627,44.862520058624185,45.79881826861409,46.29010003074459
12.json,47.04706707199334,41.99564641245431,42.08077185161295,40.536139581549364,40.982180743843784,43.07734723248596,41.41513840978415,43.08641677805344
13.json,46.24466813704629,41.25627351662446,43.09192696744879,42.898920650997994,40.524374708265675,41.56414953588158,42.581769566468424,41.302898071788896
14.json,46.128778950774674,43.316821876430865,40.937242310647164,42.28788806149765,42.0711433085246,40.877679341913236,43.997168246921134,42.490708344689764
15.json,34.166585738727335,32.68184291878724,32.493632327156035,32.3469967848558,31.101952141735445,31.143146993332117,31.132684292265377,31.181147852246255
16.json,50.26401728372333,48.985863270161374,49.739522796468734,48.93459855901851,48.8995879450919,48.59479319779267,48.97925839146855,49.25450594177166
17.json,48.806246614066154,35.96923435846786,35.90561555598564,35.92712499512621,36.835068693598494,34.091041517386074,35.8525811391615,37.07400518173232
18.json,52.07280634444403,37.589615691343965,37.61980418908452,38.57086309443559,37.219187100207236,40.98070010431026,37.890596994851876,38.155452220575114
19.json,34.39873807606007,32.12408190207402,33.0792387369626,32.091465748527526,32.45420297049769,33.1596094482307,32.840599910579684,32.46448314264542
20.json,47.8967948193427,48.75498283949552,47.593131846107745,48.292794252505544,47.81674027602679,50.00487680495017,48.812576677013865,48.82279081320779
21.json,48.82042345146624,49.01067302804523,49.06910555601543,49.99880327736105,48.63307293445766,49.93811263272247,49.01492036317278,50.59568526070749
22.json,30.463685917756912,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977
23.json,30.933639748809533,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977
24.json,39.42161394716693,31.31572576392968,30.09946140989002,30.700390365767316,30.575483511178305,30.1321964957557,30.359696871911318,32.219003876893254
25.json,51.81888857013229,53.3594045566962,48.8779840343326,52.10981974944989,52.596192825648494,52.6669558740747,54.268663787480406,53.18498090861941
26.json,48.02318452544212,48.83010009764999,49.835761772596875,51.13700115341193,51.24975723577836,52.70021446880794,50.38687874015814,53.0522551842382
27.json,54.54387436420062,59.70012101152675,61.46206085196544,62.28217355505168,63.08592701433876,61.33745001609348,62.568155405623294,64.18484295706762
28.json,47.30630987046554,48.914531930627,49.268928119828374,51.40565651720256,48.95730664227514,54.012152634255585,49.61516576207653,52.36350565596622
29.json,32.75973184068458,35.261737309284584,34.62532176972733,31.91140195818133,31.892507187013575,32.22232644108878,33.160442903620236,32.8811556060448
30.json,42.48918359217627,32.783808964796634,32.40204965877973,33.47025782638954,33.02958081689852,33.85551952981548,32.15044710488688,33.06533564659394
31.json,38.694756337597184,35.47211865287764,35.34227733795371,34.74806096334851,35.44965993959284,35.1144862081881,35.28990960220752,35.04839134352311
32.json,49.20512349810498,41.232309230177336,45.19207710508606,43.83318393417011,43.01934315756786,44.731697014496945,43.4345512328387,43.83433895121523
33.json,52.96605848702062,52.37217079114536,51.292435263393216,51.10123676377716,51.65692414778134,51.28947835454976,51.65812625391533,50.67751452063145
34.json,54.733131915331015,44.48763390508769,44.92765034617066,45.343201698645125,44.75718216530995,43.81756815100388,44.57576932855163,45.80954148040695
35.json,61.646516152624656,57.44279223081909,56.79099287724112,59.58748261716205,60.9175136162908,59.72994035436416,58.21693658466351,59.06658127663519
36.json,58.25985285106575,60.124460915918654,60.20818090891663,59.597970380348514,59.969065449121366,59.61993412962401,59.77304691462973,60.553583571968694
37.json,73.90432110904837,71.07022973095921,70.30344182212097,71.04973982582905,70.7621657521928,71.56897485772512,71.95587402675152,70.97788236029139
38.json,31.566669549631683,50.2768681634666,49.911003070835434,51.14547798993324,52.896983770930866,60.609955857160095,50.787835342942934,52.44370936810382
39.json,41.83221653457249,57.760848420199785,68.28208150296494,63.267369572274845,61.123150224747704,66.96575928321978,59.51508649589046,62.78175905744082
40.json,47.122784508974235,57.46685895517032,63.03730502309679,59.50715496689456,59.44473237415199,57.91695345376654,54.299154183840656,58.970242160624345
41.json,32.58569638170157,40.236571672214794,44.39775763457098,47.646305971316245,48.81717003568872,48.136923823822045,48.060645109519086,46.94579649644936
42.json,25.688929560508484,32.23506210032288,34.22113075199178,37.27830382445172,30.387118113942982,27.241066243146502,31.588456450418146,26.55201678058204
43.json,23.684999439025642,23.091053985755618,23.091053985755618,23.091053985755618,23.091053985755618,23.091053985755618,23.091053985755618,23.091053985755618
44.json,36.108474216403216,38.185181481760516,37.56787429749097,38.371203306706974,47.561175733479935,36.66151220515171,38.79396777590459,35.580900293582815
45.json,39.744912046929144,38.0765822903411,38.34906882493321,37.84375651009169,37.82430937693741,37.32657974377158,38.42409354340144,38.387782784877764
46.json,44.357103859204685,37.582809270815744,37.41300903025969,35.657458213779286,37.583751364996736,35.116531761922644,36.508513001375846,38.387273735566666
47.json,40.41907060768169,40.75011023662453,40.074287913937695,40.64016075563241,41.72571449149169,41.205698423256344,40.914591625988336,41.24500355306049
48.json,44.55031692343838,46.28818866784576,46.57718250848835,45.562100640679105,46.409545087803004,46.67701779031679,47.910248726422026,47.55672780360586
49.json,36.59404709287149,34.237512768482915,37.64456097440067,35.04700496050526,35.56529113307477,34.49065879130073,34.37087894705745,32.401768566309
50.json,33.20103989079743,43.38493476264376,50.377462529810416,45.848577813884035,43.31555026475544,44.85336331033717,42.859941331567555,48.50067973093364
51.json,64.53086892118307,71.79624340355186,72.65433552951406,70.78139591087887,72.51284135828807,77.17681138560519,73.26082529642656,78.4019506714119
52.json,74.03287771155951,79.63127924823713,84.01550136741712,78.65067200896951,83.21503129915166,85.76540283213848,82.1734493948319,85.0628275327788
53.json,78.90166577135291,73.81269615002329,78.93541107489735,83.2062392916383,77.84117883424018,76.07558625724636,81.96350682893977,76.25163591815256
54.json,30.995163113076654,34.91738714386021,32.727356135456084,29.43337262148101,32.39648661519706,30.367466421749224,33.16204873660839,33.837865170143274
55.json,34.46550027572865,34.472991905539416,36.489901362071365,34.74419183708085,33.3317009134047,36.06614147324509,38.386848959780835,34.747484208349036
56.json,48.05684959883245,46.79248212564683,48.09333603280553,47.812757706651624,49.38841036370274,49.107651668937585,46.41512568161903,47.68312833123796
57.json,49.99888737735614,48.999981015149885,48.829215604821954,47.97670762539316,48.12876381142186,48.14403271323529,48.9404311619721,47.62438783273943
58.json,66.21895153689869,64.78095976949189,66.58394062972198,63.38164120921137,65.93027090003685,63.88667738396032,67.35737426188257,66.08250006791863
59.json,63.50462307514118,64.00590552156889,65.29781607209767,65.34350502874466,65.45113844653814,64.41883377664236,67.21761506658433,65.87121880948358
60.json,41.73823091345287,45.23100393678788,45.15203398622528,45.43259730321064,41.17752874004583,44.293518287782305,49.761515971398566,44.05441635487758
61.json,79.28615625964115,78.70130306122694,81.32043014532637,88.39313867945097,76.61721260885118,82.95754007645913,80.93448820135393,84.54222225534396
62.json,26.223233931506577,27.049185119816304,27.834435591549088,27.6051017269482,28.176091746519944,28.93040206657337,29.257040198728088,27.392826220784237
63.json,64.14471839613739,65.03390354412417,64.9273862503303,71.98492635968705,66.63341994074528,69.21454695221865,71.36983185999836,69.90692310313777
64.json,61.805837578742796,66.71810155143835,64.39901244917678,66.06141205570938,64.8108918242378,65.66387197347761,65.95728025228536,65.32860490677896
65.json,64.31460597249159,61.34950954815739,63.73558107300636,63.53619790973892,62.835990497856436,63.20409791678535,64.40451389344862,64.16410193565822
66.json,81.37543071451566,72.3123608572455,69.74626054129959,74.35218050576688,70.21221568470484,73.30245309926124,74.89971461624086,78.99372619531184
67.json,78.74828578747835,72.18013718523409,71.49494937973786,71.86652363890694,71.71317186639838,75.39969072503563,73.60101612800385,74.16065472759155
68.json,44.49947830253305,37.45493452815013,37.47321980417897,37.67946624571253,38.75568780833551,40.21709930479767,38.01060174796993,38.529993623947476
69.json,44.61411897481311,40.00873032861675,37.56718033793768,38.74910777402298,38.96477772488869,40.39758929941812,38.43170516728147,40.55296823814403
70.json,36.588879857926045,40.09805812592464,39.47761554337965,37.898114900766885,38.794656518735856,40.26752374612413,42.91671523132842,38.56635444964259
71.json,39.04526729682262,40.68954517396567,42.33522049018302,41.291251204546676,39.33013399463222,39.27428759141585,39.8757770347652,41.21996025221219
72.json,36.43829188267162,39.2177337258726,43.44863059207855,42.013500543920664,41.21365271705141,41.94697290037725,43.70768393233634,41.44172411605492
73.json,55.1509318800809,43.89919670504815,43.22387869945697,46.18239725403264,45.022298130714844,44.775322280782134,46.31117923232355,46.93624040630756
74.json,40.39583631389796,47.48135874202631,48.56704911330492,49.6685344720956,47.55588558613876,45.104621161976056,48.55088604856381,50.82188961142581
75.json,46.64123572240046,57.29944454390401,55.970102516653114,57.75441286346849,59.287854789646644,54.48305475630527,58.05016746347864,58.27086570155792
76.json,48.7027367141811,63.57401685210787,59.017741365375684,65.18964947627826,59.27816928141711,61.55519755726838,59.59812512268866,58.24210561374141
77.json,43.53445084372271,65.16277690367058,66.55241397289072,67.01885007943302,70.43277557728656,73.20123766313925,70.67608581649839,62.28082621613871
78.json,44.92732053190418,68.69148223535237,53.274922187913276,55.28643546276338,51.14507886640053,57.432418116490226,61.41148179422616,59.39026135208063
79.json,36.7514159579041,35.72002742877869,36.53165016809553,36.73218092418076,36.21009381083362,36.77116925665255,36.197548811453935,36.367853155593046
80.json,54.870481580482604,63.67996978034737,66.96364640211762,62.70709790003129,60.31082453306832,62.5705104792573,68.09618154493424,65.48221095382755
81.json,54.65966871308584,68.51113571987473,64.54127884883091,63.48216301544263,62.80735723811133,64.67587407730122,68.61661767721384,66.71498232035762
82.json,58.84147409666421,77.43642102954979,78.10389183794281,76.58578233324349,78.0980804462726,82.23347661872823,86.22937987341605,88.61389336545365
83.json,57.64408844983625,67.12648579256326,65.69322221087177,74.72323240049509,66.28497182941624,66.77137215752032,69.35021601966916,66.65565472975314
84.json,47.65741130251733,47.434934424589116,50.807703544834254,48.03249456705647,51.17970573560156,53.48838181148257,51.04903794867487,45.66689369279899
85.json,47.21878095574455,44.515196146035564,50.30572454047398,47.71081732773028,47.75965708909898,46.2827807946244,45.862668470220555,45.44573882913918
86.json,55.54576030416099,48.69093225136567,45.68738828293136,50.094014305266334,51.177666290423055,49.34287722732652,49.71411288516326,47.9278377239072
87.json,52.28883874325692,50.1595162048779,54.625789808355805,52.9555369115159,49.84440228131623,53.436094285665625,53.15908956631968,49.148360417576825
88.json,46.260160018631325,44.98206481971779,48.28838411398654,46.035072743782266,48.718748139488696,47.198564111808324,45.94107541890375,47.47073296852333
89.json,47.637350977927724,47.732341802978965,46.50329491501476,49.564248873605024,49.35103445661548,53.98344976347969,51.294518457352936,55.81648467395545
90.json,33.89126443605812,40.76338138361372,33.14304426583552,44.943256274999655,34.689306853479835,39.981268230097825,32.76026818989753,36.21309460141158
91.json,37.790254610345016,45.611116032507674,42.425854388065595,48.31216917863599,43.3936539775631,47.11129126033505,44.30384074661555,48.15902658251928
92.json,36.39508313782683,50.43985027795891,45.42332087288251,48.91370343544859,47.9781827916254,46.02734223129267,46.626523394601115,53.55583565207828
93.json,46.87077487108087,47.7566638653768,46.893919902142486,46.69581097311466,46.90385623954877,46.57770794448187,46.79381603846421,46.26210073391189
94.json,46.842306036836504,47.780706672767785,46.332084921916795,46.641230585034876,47.00866682782312,48.130563651872066,46.65914982339384,46.57717307820132
95.json,47.41229809720258,47.54379298004442,46.99125715935072,46.8699555350532,46.736272165110314,47.24715460111126,47.63235328409999,47.5138789539247
96.json,52.43503813519537,55.155638809460854,59.28230361903992,55.74055643983288,58.94154900269548,56.24341043171815,59.54373939254983,57.423005477902485
97.json,57.03068028100254,73.5232846929109,74.74780129183051,81.01073035646002,73.93601584489197,74.64981034454937,68.89140425539203,76.1685158603548
98.json,56.52639729551439,69.44547438881824,66.29826887531704,71.42182476923132,73.55221968801155,72.78157101108877,76.15511857772526,66.77149048124085
99.json,67.342779985009,88.85797876100082,84.97164479826286,76.0274295470184,87.02388507751206,94.44088857742824,91.09052068785073,89.22401682708872
100.json,64.89122771937198,75.19459767707667,71.15190575465273,90.29210855360823,82.82850540199631,91.14916505736278,81.17585158726493,85.22437325752846
